"id","code","parent_code","name","frequency"
"1","1","","1 - Crédito em conta-corrente","monthly"
"2","2","","2 - Transporte de saldo acumulado para o próximo período","monthly"
"3","3","","3 - Transporte de saldo acumulado do período anterior","monthly"
"26","4","","4 - Devolução de saldo",""
"4","I","","I - Passagens aéreas e terrestres","monthly"
"5","II","","II - Serviços e produtos postais previstos nos contratos celebrados pela Assembleia Legislativa, vedadas as aquisições de selos e remessas de cartões postais",""
"6","III","","III - Manutenção do Gabinete Parlamentar e de Escritórios de Apoio à Atividade Parlamentar","monthly"
"7","III.a","III","III.a - Locação de imóveis",""
"8","III.b","III","III.b - Condomínio",""
"9","III.c","III","III.c - IPTU e seguro contra incêndio",""
"10","III.d","III","III.d - Serviços de energia elétrica, água e esgoto",""
"11","IV","","IV - Custeio de despesas vinculadas ao Gabinete Parlamentar e aos Escritórios de Apoio à Atividade Parlamentar","monthly"
"12","IV.a","IV","IV.a - Locação de móveis e equipamentos",""
"13","IV.b","IV","IV.b - Material de expediente e suprimentos de informática",""
"14","IV.c","IV","IV.c - Acesso à internet",""
"15","IV.d","IV","IV.d - Assinatura de TV a cabo ou similar",""
"16","IV.e","IV","IV.e - Locação ou aquisição de licença de uso de software",""
"17","IV.f","IV","IV.f - Serviço de segurança patrimonial, presencial ou remoto",""
"18","IV.g","IV","IV.g - Assinatura de publicações",""
"25","IX","","IX - Participação do Parlamentar em cursos, palestras, seminários, simpósios, congressos ou eventos congêneres, realizados por instituição especializada","monthly"
"19","V","","V - Fornecimento de alimentação do Parlamentar","daily"
"20","VI","","VI - Outras despesas com locomoção",""
"21","VI.a","VI","VI.a - Locação ou fretamento de veículos automotores",""
"22","VI.b","VI","VI.b - Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","monthly"
"23","VII","","VII - Combustíveis e lubrificantes","monthly"
"24","VIII","","VIII - Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","monthly"
"29","VIII.a","VIII","VIII.a - Serviços gráficos",""
"30","VIII.b","VIII","VIII.b - Criação de conteúdo digital",""
"31","VIII.c","VIII","VIII.c - Impulsionamento de mídias",""
"32","VIII.d","VIII","VIII.d - Assessoria de imprensa e comunicação",""
"33","VIII.e","VIII","VIII.e - Monitoramento da atividade parlamentar em redes sociais",""
"27","X","","X - Diárias para Parlamentar e seus assessores",""
"28","XI","","XI - Tarifas bancárias da conta corrente",""
