"congressman_id","name","nickname","email","party_id","party_code","party_name"
"1","Alana Passos","Alana Passos","alanapassos@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"2","Alexandre Freitas","Alexandre Freitas","alexandrefreitas@alerj.rj.gov.br","19","NOVO","Partido Novo"
"3","Alexandre Gomes Knoploch dos Santos","Alexandre Knoploch","alexandreknoploch@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"69","Wanderson Gimenes Alexandre","Anderson Alexandre","andersonalexandre@alerj.rj.gov.br","129","SDD","Solidariedade"
"72","Andre Correa","Andre Correa","andrecorrea@alerj.rj.gov.br","10","DEM","Democratas"
"79","ÁTILA NUNES","ATILA NUNES","atilanunes@alerj.rj.gov.br","15","MDB","Movimento Democrático Brasileiro"
"70","Bagueira","Bagueira","bagueira@alerj.rj.gov.br","129","SDD","Solidariedade"
"7","Manoel Inacio Brazao","Brazão","brazao@alerj.rj.gov.br","81","PR","Partido da República"
"8","Bruno Dauaire","Bruno Dauaire","brunodauaire@alerj.rj.gov.br","95","PRP","Partido Republicano Progressista"
"9","Capitão Nelson","Capitão Nelson","capitaonelson@alerj.rj.gov.br","6","AVANTE","Avante"
"71","Capitão Paulo Teixeira","Capitão Paulo Teixeira","capitaopauloteixeira@alerj.rj.gov.br","84","REP","Republicanos"
"10","Carlo Caiado","Carlo Caiado","carlocaiado@alerj.rj.gov.br","10","DEM","Democratas"
"11","Carlos Macedo","Carlos Macedo","carlosmacedo@alerj.rj.gov.br","84","REP","Republicanos"
"12","Carlos Minc","Carlos Minc","carlosminc@alerj.rj.gov.br","103","PSB","Partido Socialista Brasileiro"
"80","Charlles Batista","Charlles Batista","charllesbatista@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"14","Chico Machado","Chico Machado","chicomachado@alerj.rj.gov.br","106","PSD","Partido Social Democrático"
"73","Chiquinho da Mangueira","Chiquinho da Mangueira","chiquinhodamangueira@alerj.rj.gov.br","104","PSC","Partido Social Cristão"
"16","Daniella Monteiro Da Silva","Dani Monteiro","danimonteiro@alerj.rj.gov.br","112","PSOL","Partido Socialismo e Liberdade"
"17","Danniel Librelon Dias De Castro","Danniel Librelon","danniellibrelon@alerj.rj.gov.br","84","REP","Republicanos"
"20","Dr. Deodalto","Dr. Deodalto","drdeodalto@alerj.rj.gov.br","10","DEM","Democratas"
