"congressman_id","congressman_entry_id","budget_id","date","value","object","to","cost_center_id","cost_center_name","cost_center_code","parent_code"
"43","14552","1415","2020-11-06 21:42:24","-127.58","Abastecimento 01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14553","1415","2020-11-09 21:44:58","-191.90","Abastecimento 02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14557","1415","2020-11-26 21:52:13","-270.19","Abastecimento 06","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14558","1415","2020-11-30 21:54:30","-260.05","Abastecimento 07","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14566","1415","2020-11-30 23:15:04","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","14554","1415","2020-11-13 21:47:19","-235.77","Abastecimento 03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14555","1415","2020-11-19 21:48:55","-200.01","Abastecimento 04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14563","1415","2020-11-03 23:06:56","-8500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","14556","1415","2020-11-25 21:50:33","-122.12","Abastecimento 05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14564","1415","2020-11-01 23:10:12","-650.00","Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","14565","1415","2020-11-01 23:12:12","-650.00","Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","14559","1415","2020-11-03 21:58:08","-10.00","Tarifa Cartão Itaú","ITAU UNIBANCO S.A.","28","Tarifas bancárias da conta corrente","XI",""
"43","14450","1344","2020-10-07 14:12:15","-230.63","Abastecimento 03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14451","1344","2020-10-20 14:14:59","-206.66","Abastecimento 04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14453","1344","2020-10-30 14:18:53","-219.45","Abastecimento 06","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14452","1344","2020-10-23 10:33:16","-174.00","Abastecimento 05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14448","1344","2020-10-02 14:06:39","-254.16","Abastecimento 01","Centro Automotivo Cruzada da Barra LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14449","1344","2020-10-05 14:09:56","-204.36","Abastecimento 02","AUTO POSTO ALVORADA RIO LTDA","23","Combustíveis e lubrificantes","VII",""
"43","14512","1344","2020-10-31 11:17:55","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","14519","1344","2020-10-01 11:36:26","-10.00","Tarifa Cartão Itaú","ITAU UNIBANCO S.A.","28","Tarifas bancárias da conta corrente","XI",""
"43","14513","1344","2020-10-01 11:21:44","-8500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","14518","1344","2020-10-01 11:32:26","-650.00","Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","14515","1344","2020-10-01 11:24:23","-2150.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","14517","1344","2020-10-01 11:28:32","-650.00","Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
